text,polarity,emotion
industri llam camin jam literal canal canal tuv jugador lam seri madr grey 300 millon suscriptor ten gan president guatemal seri real nub industri camin inclusiv creacion conten muchisim person extrem millonari encant cuent noch mañan creador conten dificil gent pens facil lleg hablar el cam jug sub gust punt person gust vert person gust quedar el fiel net creador conten conten valor posit crec dificil final literal jueg estadi llen person computador gan chat millon dolar mineral romp romp romp habl cos sent person siqu conoz comun siqu pertenez dec creador conten chamb dificil gent entend realiz lleg 30 segund 5 minut etceter creador conten respons sal boc gent person consum conten tip realment camin llev net consumidor usuari influenci ver tel ver tuv escuch sot radi etceter chat s dud amig jug conect hol amig cre vid habl cant niñ chat s dud uy sup psicot poblacion cre gent ces quem net gent obvi viv mund globaliz evident disposit electron consol pp telefon celul red social mil cos permit comunicart person mund edad finaliz basic net preocup tip conten andir internet simpl sencill opinion gust acept cler vide pas insult comun escuch text moñ simpl sencill prefer gust unic creador conten dej person ver aprend respet agrad unic ped respet tem net chic pens muchisim person segu habl simpl sencill internet parais bla pod dej comentari casit alud gust habil corazon cariñ leer el ver adios,NEU,others
pregunt interes contestart dejam decirt pregunt lector rat mund literatur dificil defin libr favorit pas año cambi gust evolucion va encontr lectur encasill libr favorit complic graci llev rat leer identific libr favorit cont separ libr favorit distint epoc comenc leer empez libr contact mund literatur libr libr encant dec libr fascin miser victor hug inici mund literatur avent cabron ment direct clasic pap cas pur libr pes dec libr pes net refier libr pes habl 100 año soled don quijot manch amor tiemp color literatur juvenil muchisim literatur infantil empez libr libr cas copi miser dej encontr madr pap compr pres alla 70 70 80 alla 70 80 libr año obvi ende mar viej año libr favorit encant leer clasic desgraci provoc volver y lector amador razon lector matador estar sent oscur crei  ultra chillon inteligent mund amig aprend atras trat aprend form suav cit lector amador caus ajen logr sal epoc sent superior leer libr miser libr favorit afortun entre carrer person salv actitud ultra mamader enseñ horizont lectur tip escritur tip narrat empez histori clasic aventur literatur juvenil aventur literatur misteri conoc horizont horizont conoc top libr histori fech leid vid ende libr favorit fech habl muj cit luis alcob venc pelicul ir sal muj cit protagoniz sor rob florec pug tim super emocion sor rob actriz favorit muj hermos dec buey obvi pelicul vestigi lector mam año dec leer libr huev leer libr pregunt amig carrer ten libr pod conseguir el termin compr copi muj cit fiest histori termin festej navid histori complet ah desafortun sab pelicul sab pas festej navid sorpres dol sol encontr copi editorial austral amar odi editorial austral edicion integr libr respetu material original termin jod inform vide guerr paz canal punt logr adquir copi leer mient pod solt fascin libr libr favorit amar logr evolucion person haber y junt person junt carrer logr abrir horizont histori definit veo impos lleg libr reemplazar el libr favorit cont 40 50 años 60 cambi cos fech 19 ahorit 24 año libr favorit tiemp,NEU,others
habl subsidi azul segur familiariz termin impuest ros cient imag serv ejempl impuest ros palabr palabr porcentaj extra cobr product enfoc muj porcentaj cobr product enfoc hombr sent subsidi azul entend subsidi azul recurs econom capital pag bien servici realiz hombr cuy beneficiari muj sal com pag subsidi azul mand tonel tonel subsidi azul llev cas subsidi azul hombr encarg prov gast lug subsidi azul pag rent rent subsidi azul muchisim cos problem cuestion subsidi azul dat molest entrar el tem subsidi azul sent import empec tem mes particular refer investig econom asegur subsidi azul sustancial ejempl dat neg mexic poblacion econom activ dedic labor hog estudi imped razon jubil etc etc realiz activ trabaj muj hombr 30 millon muj conform poblacion econom activ contrari 10 millon hombr sent 30 millon muj poblacion econom activ ingres gener gast sobreviv subsidi azul probabl dedic hog dedic estudi dedic cos subsidi gast pap herman novi espos sent import habl acerc subsidi azul necesit dat conoc econom investig econom entrar dat investig asunt quer colabor papel hagans lleg tit etiquet pod empez habl tem dat moment tip situacion empiec luz academi chic cuid,NEU,others
capital libr eleg qui explot quier mor hambr call dec gent oblig ejempl meser trabaj sueld baj viv propin eleg quer trabaj busc capital libert conscient gent mam dueñ pequeñ median empres vist escuch guardi ten turn 24 24 12 12 cos ilegal firm hoj blanc ah hoj blanc quer ejempl renunci hoj firm ay escuch soci gent termin primari etc ambit aceptar el pag tripl doming vacacion empez viv mam ay pon mam dec graci ojo neg ten privilegi ten ten educ priv pod estudi idiom quer ten viaj ten mejor telefon rop bla bla bla dec luj sosten explot llam conscient privilegi habl empres median imaginens corpor ejempl mcdonald s calm cualqu ocurr ilusion gent opcion ilusion meritocraci mit facil agarr encontr trabaj ay capital fantas gent pens seri conviv empresari falt unicorni especial ven dec ay empresari emple capital norm sab cantid mañ empresari pagarl emple mor jur llevarl cen perr ejempl año pagarl tripl festiv cumpl trabaj ser human di preocup escuch cos cuentam opin enoj,NEU,others
habl calm opinion general pie linder resum habl tram vide picador seri pas peculi empiez seri gust tempor complet dispon ver par gust ching quer seri acab rap lad ric capitul par seri dur cambi empiez seri par capitul gust termin gust gast tiemp ching seri val pen pie linder pas cos empec principi gust ver par notifiqu par seman tard exager 3 año ver el ver primer tempor 2019 gust ver seri pes capitul larg secuenci contempl pod maraton año retom seri vide tuv compar alcohol remedi dinam ambos famili ver tempor 3 4 4 ver par episodi quint parec pes dej par mes sab sal sext retom quint tempor quer seri soli personaj tom sel altur personaj television complej evolu clar tram emocion estaf asesinat mezcl event histor principi sigl ex ambient impec form habl rop call ingu año ex music contemporane dibuj perfect esenci ver gan hac videojueg mover el seri pes atrap atencion exig cost tempor seri moment primer cocin cos villan tempor inspector caricatur rest seri present complej tempor evolu logic personaj riesg precis evolu pie linder dej sentir el pie linder mund preocup carrer caball evolu sent histori padill parec atract tempor ah sac verg seri equilibri perfect extrem algui vist seri recomend val pen esper seri met pon ching entend perfect empez atrap top top seri histori compr magi vend insist ambient solist videojueg parqu diversion perd fiest disfraz,NEU,others
mexic comenz viv problem pais desarroll parecier mentir mexic atraves etap incomod sal problem taz fertil hij muj mexic nivel reemplaz poblacional ser transform econom socied alemani japon australi compet atra talent extranjer condicion laboral migratori mexic igual ejempl alemani busc 70 000 chof sueld superior diput senador facilit vis program mat in in german japon ofrec resident plaz trabaj calific australi otorg resident permanent trabaj zon rural impuls camp contr mexic desarroll estrategi reten poblacion compet talent internacional continu clic aca gobiern fren exod talent previ segur emple calid vid cap actu exod talent crec quedar el pais hab ofert inigualabl extranjer mexic enfrent econom debilit demograf competit ment leer comentari,NEU,others
ide amor incondicional fras amart incondicional mentir explic amor condicion dec condicion refier dart ejempl superficial absurd amar ten cantid diner decirt cos razon superficial carec cre sustent ejempl condicion real amar sea person respetu trat respet amar valor compagin ten quimic emocional amar cumpl parametr person cumpl cubr exact opinion bidireccional red reciproc espaci compat cumpl caracterist permit disfrut compatibil amar algui dart ejempl peg condicion condicion fuert dur escuch condicion amor ejempl violent amar incondicional context amor dij amor san amor cariñ respetu estatal cos quer condicion amor incondicional entrar acompañart moment dificil entrar salud enfermed fing limit aprend marc amar person,NEU,others
quer mixt gust empez conoc mixt present log segur vist segur ver moment diferenci person vist toc tem estudi fond decir el mixt femin distint evolu encontr mixt 3 0 sustent basic escrit libr punt rap diferent 1 0 2 0 3 0 1 0 raiz polit fuert surg critic estar gast diner implement polit gener precis opon 2 0 busc alejar el 1 0 sent centric 1 0 abog promov valor masculin tradicional 2 0 sent dec hombr segu camin decir el camin punt aut defin 3 0 dar el orden filosof mixt establec seri principi general habl escrit document mostr tem mixt nucle mixt dolor sent surg precis experient colect mil hombr viv relacion particular violent negat seri asimetr benefici muj relacion interpersonal asimetr plasm ley ley matrimoni benefici muj ley divorci benefici muj ley patri potest hij benefici muj norm social benefici proteg muj hombr simplement decid quer jug jueg quer relacionar el quer segu camin problem precis ven sal humild opinion facil sal sal cobard simpl jueg llev balon ambit individual benefici hombr simplement aliviar el implic relacion interpersonal benefici ambit colect mejor form relacion muj cambi ley cambi asimetr favor mixt rang accion individual colect cambi modific asimetr huir,NEU,others
dim opinion divert ah porr aprend jar poquit conduc ley antro seman valor sal antro ah mes ay ah ah pobr deb hij reten chil comun carrer innecesari mund oir mayor seguidor comun chingu madr opinion divert rey trar nac hab escuch dat nac cu fio ir gust oir gust habl ah,NEG,others
opin pus tio monton vide dec anti anti vide dec gent dar 30 25 30 vide text ta barat graci adios text text eh tit respond vide hor llam nom jardin hab ver nom jardin llam amig intent cabre dec segu niñ segu adult segu niñ tit niñ,NEU,others
