text,polarity,emotion
industri llam camin jam literal canal canal tuv jugador lam seri madr grey 300 millon suscriptor ten gan president guatemal,2,others
seri real nub industri camin inclusiv creacion conten muchisim person extrem millonari encant cuent noch mañan creador conten dificil gent pens facil lleg hablar el cam jug sub gust punt person gust vert person gust quedar el fiel net creador conten conten valor posit crec dificil final literal jueg estadi llen person computador gan chat millon dolar mineral romp romp romp habl cos sent person siqu conoz comun siqu pertenez dec creador conten chamb dificil gent entend realiz lleg 30 segund 5 minut etceter creador conten respons sal boc gent person consum conten tip realment camin llev net consumidor usuari influenci ver tel ver tuv escuch sot radi etceter chat s dud,1,others
amig jug conect hol,1,others
amig cre vid habl cant niñ chat s dud,1,others
uy sup psicot poblacion cre gent ces quem net gent obvi,0,anger
viv mund globaliz evident disposit electron consol pp telefon celul red social mil cos permit comunicart person mund edad finaliz basic net preocup tip conten andir internet simpl sencill opinion gust acept cler vide pas insult comun escuch text moñ simpl sencill prefer gust unic creador conten dej person ver aprend respet agrad unic ped respet tem net chic pens muchisim person segu habl simpl sencill internet parais bla pod dej comentari casit alud gust habil corazon cariñ leerl ver,1,others
adios,1,others
pregunt interes,1,others
contestart dejam decirt pregunt lector rat mund literatur dificil defin libr favorit pas año cambi gust evolucion va encontr lectur encasill libr favorit complic graci llev rat leer identific libr favorit,1,others
cont separ libr favorit distint epoc comenc leer empez libr contact mund literatur,1,others
libr libr encant dec libr fascin miser victor hug,1,joy
inici mund literatur avent cabron ment direct clasic pap cas pur libr pes,0,others
dec libr pes net refier libr pes,0,others
habl 100 año soled don quijot manch amor tiemp color,1,others
literatur juvenil muchisim literatur infantil empez libr libr cas,1,joy
copi miser,1,others
dej encontr,1,others
madr pap compr pres alla 70 70 80 alla 70 80 libr año obvi ende mar viej,0,others
año libr favorit,2,others
encant leer clasic desgraci provoc volver y lector amador,1,others
razon lector matador,0,others
estar sent oscur crei  ultra chillon inteligent mund,0,others
amig,1,others
aprend atras trat aprend form suav cit,1,others
lector amador caus ajen logr sal,1,others
epoc sent superior leer libr miser libr favorit,2,others
afortun entre carrer person salv actitud ultra mamader enseñ horizont lectur tip escritur tip narrat empez histori clasic,2,joy
aventur literatur juvenil aventur literatur misteri conoc horizont,1,others
horizont conoc top libr histori fech leid vid ende libr favorit fech habl muj cit luis alcob,1,others
venc pelicul ir sal muj cit protagoniz sor rob florec pug tim super emocion sor rob actriz favorit muj hermos,2,joy
dec buey obvi pelicul vestigi lector mam año dec leer libr huev leer libr pregunt amig carrer ten libr pod conseguir el termin compr copi muj cit fiest histori termin festej navid histori complet,1,joy
ah desafortun sab pelicul sab pas festej navid sorpres dol sol encontr copi editorial austral amar odi editorial austral edicion integr libr respetu material original termin jod inform vide guerr paz canal,1,others
punt logr adquir copi leer mient pod solt fascin libr libr favorit amar logr evolucion person haber y junt person junt carrer logr abrir horizont histori definit veo impos lleg libr reemplazar el libr favorit cont 40 50 años 60 cambi cos fech 19 ahorit 24 año libr favorit tiemp,1,others
habl subsidi azul segur familiariz termin impuest ros,1,others
cient imag serv ejempl,1,others
impuest ros,1,others
palabr palabr porcentaj extra cobr product enfoc muj porcentaj cobr product enfoc hombr sent subsidi azul,1,others
entend subsidi azul recurs econom capital pag bien servici realiz hombr cuy beneficiari muj,1,others
sal com pag subsidi azul,1,others
mandast tonel tonel subsidi azul,1,others
llev cas,1,others
subsidi azul,1,others
hombr encarg prov gast lug subsidi azul,1,others
pag rent rent subsidi azul,1,others
muchisim cos,1,others
problem cuestion subsidi azul,1,others
dat,1,others
molest entrar el tem subsidi azul,0,others
sent import empec tem mes particular refer investig econom asegur subsidi azul sustancial,1,others
ejempl dat neg mexic poblacion econom activ dedic labor hog estudi imped razon jubil etc,1,others
